stop_id,stop_name,stop_lat,stop_lon
ELZAOU_057,El Zahour Outer Stop 57,31.263913,32.288078
ELZAOU_058,El Zahour Outer Stop 58,31.262967,32.289750
ELZAOU_059,El Zahour Outer Stop 59,31.261743,32.290597
ELZAOU_060,El Zahour Outer Stop 60,31.260271,32.289958
ELZAOU_061,El Zahour Outer Stop 61,31.259267,32.291703
ELZAOU_062,El Zahour Outer Stop 62,31.258664,32.293017
ELZAOU_063,El Zahour Outer Stop 63,31.259950,32.292912
ELZAOU_064,El Zahour Outer Stop 64,31.261238,32.292842
ELZAOU_065,El Zahour Outer Stop 65,31.262237,32.291095
ELZAOU_066,El Zahour Outer Stop 66,31.263321,32.289442
ELZAOU_067,El Zahour Outer Stop 67,31.263611,32.288928
KA_001,Kasra Stop 1,31.273457,32.268303
KA_002,Kasra Stop 2,31.272989,32.270335
KA_003,Kasra Stop 3,31.272487,32.272355
KA_004,Kasra Stop 4,31.271966,32.274369
KA_005,Kasra Stop 5,31.271527,32.276409
KA_006,Kasra Stop 6,31.270696,32.277674
KA_007,Kasra Stop 7,31.269506,32.277398
KA_008,Kasra Stop 8,31.269057,32.279350
KA_009,Kasra Stop 9,31.268483,32.280518
KA_010,Kasra Stop 10,31.270204,32.281132
KA_011,Kasra Stop 11,31.269785,32.283065
KA_012,Kasra Stop 12,31.269250,32.285074
KA_013,Kasra Stop 13,31.267686,32.284874
KA_014,Kasra Stop 14,31.267132,32.286874
KA_015,Kasra Stop 15,31.266306,32.288730
KA_016,Kasra Stop 16,31.265155,32.289483
KA_017,Kasra Stop 17,31.264119,32.290994
KA_018,Kasra Stop 18,31.263138,32.292758
KA_019,Kasra Stop 19,31.262160,32.294524
KA_020,Kasra Stop 20,31.261178,32.296287
KA_021,Kasra Stop 21,31.260185,32.297951
KA_022,Kasra Stop 22,31.260583,32.298412
KA_023,Kasra Stop 23,31.262096,32.299549
KA_024,Kasra Stop 24,31.261235,32.301337
KA_025,Kasra Stop 25,31.260260,32.303105
KA_026,Kasra Stop 26,31.259268,32.304861
KA_027,Kasra Stop 27,31.258871,32.306457
KA_028,Kasra Stop 28,31.260081,32.306043
KA_029,Kasra Stop 29,31.261065,32.304282
KA_030,Kasra Stop 30,31.262048,32.302520
KA_031,Kasra Stop 31,31.263028,32.300756
KA_032,Kasra Stop 32,31.262437,32.299364
KA_033,Kasra Stop 33,31.263414,32.297598
KA_034,Kasra Stop 34,31.264415,32.295850
KA_035,Kasra Stop 35,31.265385,32.294077
KA_036,Kasra Stop 36,31.266368,32.292315
KA_037,Kasra Stop 37,31.267413,32.290719
KA_038,Kasra Stop 38,31.268388,32.288952
KA_039,Kasra Stop 39,31.269085,32.287024
KA_040,Kasra Stop 40,31.269553,32.285006
KA_041,Kasra Stop 41,31.269935,32.282968
KA_042,Kasra Stop 42,31.270474,32.280961
KA_043,Kasra Stop 43,31.271003,32.278950
KA_044,Kasra Stop 44,31.271547,32.277979
KA_045,Kasra Stop 45,31.271711,32.276123
KA_046,Kasra Stop 46,31.272155,32.274083
KA_047,Kasra Stop 47,31.272670,32.272068
KA_048,Kasra Stop 48,31.273212,32.270061
KA_049,Kasra Stop 49,31.273465,32.268256
ELSAME_001,El Sayed Metwaly Stop 1,31.261041,32.296534
ELSAME_002,El Sayed Metwaly Stop 2,31.259972,32.297801
ELSAME_003,El Sayed Metwaly Stop 3,31.258466,32.296649
ELSAME_004,El Sayed Metwaly Stop 4,31.256961,32.295498
ELSAME_005,El Sayed Metwaly Stop 5,31.255453,32.294351
ELSAME_006,El Sayed Metwaly Stop 6,31.253943,32.293208
ELSAME_007,El Sayed Metwaly Stop 7,31.252433,32.292064
ELSAME_008,El Sayed Metwaly Stop 8,31.250928,32.290912
ELSAME_009,El Sayed Metwaly Stop 9,31.249261,32.290518
ELSAME_010,El Sayed Metwaly Stop 10,31.247490,32.290877
ELSAME_011,El Sayed Metwaly Stop 11,31.245723,32.291247
ELSAME_012,El Sayed Metwaly Stop 12,31.243937,32.291499
ELSAME_013,El Sayed Metwaly Stop 13,31.242924,32.291751
ELSAME_014,El Sayed Metwaly Stop 14,31.244709,32.291490
ELSAME_015,El Sayed Metwaly Stop 15,31.246496,32.291246
ELSAME_016,El Sayed Metwaly Stop 16,31.248250,32.290794
ELSAME_017,El Sayed Metwaly Stop 17,31.250039,32.290608
ELSAME_018,El Sayed Metwaly Stop 18,31.251606,32.291602
ELSAME_019,El Sayed Metwaly Stop 19,31.253121,32.292736
ELSAME_020,El Sayed Metwaly Stop 20,31.254636,32.293870
ELSAME_021,El Sayed Metwaly Stop 21,31.256154,32.294998
ELSAME_022,El Sayed Metwaly Stop 22,31.257654,32.296158
ELSAME_023,El Sayed Metwaly Stop 23,31.259150,32.297325
ELSAME_024,El Sayed Metwaly Stop 24,31.260651,32.298483
ELSAME_025,El Sayed Metwaly Stop 25,31.261777,32.299209
ELSAME_026,El Sayed Metwaly Stop 26,31.260330,32.298023
ELSAME_027,El Sayed Metwaly Stop 27,31.261104,32.296599
ALSA_001,Al Salam Stop 1,31.259974,32.306234
ALSA_002,Al Salam Stop 2,31.260669,32.304553
ALSA_003,Al Salam Stop 3,31.260346,32.303110
ALSA_004,Al Salam Stop 4,31.261347,32.301361
ALSA_005,Al Salam Stop 5,31.262304,32.299620
ALSA_006,Al Salam Stop 6,31.260811,32.298448
ALSA_007,Al Salam Stop 7,31.259306,32.297295
ALSA_008,Al Salam Stop 8,31.259853,32.295654
ALSA_009,Al Salam Stop 9,31.260702,32.293808
ALSA_010,Al Salam Stop 10,31.261674,32.292038
